yemekAdi,yapilis,domuz eti,pirinç noodle,vanilin,bezelye,arpa şehriye,susam,ıspanak,kg kuzu eti,dereotu,soğan,semizotu,kuskus,tortilla,süzme yoğurt,kg tavuk kanatları,spagetti,doğranmış havuç,bayat ekmek,kekik,baş brokoli,süt,parmesan peyniri,fındık,hamburger ekmeği,yeşil mercimek,tarçın,kavurma,kuşbaşı et,limon,haşlanmış patates,kadayıf,pirinç eriştesi,ceviz,balık filetosu,tavuk but,esmer şeker,tavuk kanat,dilim cheddar peyniri,kimyon,soda,barbunya,rendelenmiş parmesan peyniri,kırmızı mercimek,böğürtlen,kıyma,kuru soğan,taco kabuğu,çörek otu,pudra şekeri,ceviz içi,karnıbahar,dilim ekmek,sıvı yağ,maya,pide ekmeği,şeker,salatalık,mayonez,dana eti,fesleğen,yoğurt,nohut,pizza hamuru,rendelenmiş kaşar peyniri,yaban mersini,enginar,mısır tanesi,maydanoz,kg kabak,çam fıstığı,dilim kaşar peyniri,dana kuşbaşı et,krem şanti,mahlep,diş sarımsak,rice paper,doğranmış kabak,somon,ml krema,kinoa,rendelenmiş parmesan,zeytinyağı,ekmek içi,kuru maya,kuru fasulye,ince bulgur,toz şeker,irmik,tereyağı,dolmalık biber,mantar,haşlanmış nohut,karides,dövülmüş fındık,fasulye,yaş maya,kırmızı biber,tavuk budu,mısır,lahana salatası,kaşar peyniri,granola,dövülmüş ceviz,domates,baş marul,muskat,lazanya,salça,olgun avokado,paprika,nane,makarna,pastırma,su,tuz,zeytin,milföy hamuru,balık sosu,portakal,simit,balsamik sirke,sığır eti,domates salçası,yufka,tavuk göğsü,karnabahar,sıcak su,yumurta,tereyağı sosu,dilim somon,guacamole,patates,tavuk suyu,asma yaprağı,baharat karışımı,hazır tart hamuru,çilek,sarımsak,brokoli,fettuccine makarna,bulgur,soya sosu,doğranmış brokoli,kg tavuk kanadı,dilim peynir,lime,beyaz şarap,ramen noodle,limon kabuğu,avokado,nişasta,kuş üzümü,nar,ekşi krema,portakal suyu,pul biber,biber,dilim somon balığı,bal,kakao,kutu ton balığı,bitter çikolata,tahin,çikolata,yeşil zeytin,pirinç sirkesi,nori,krema,limon suyu,marul,tavuk kanadı,bamya,roka,yeşil biber,beşamel sos,dana biftek,elma,buğday,kabartma tozu,nar ekşisi,baklava yufkası,siyah zeytin,havuç,şehriye,haşlanmış meksika fasulyesi,haşlanmış yumurta,kruton,pirinç,tel kadayıf,sushi pirinci,barbekü sosu,baş karnıbahar,limon otu,tavuk ( but veya göğüs ),kornişon turşusu,ekmek kırıntısı,patlıcan,sucuk,un,karanfil,krem peynir,kuzu eti,köfte harcı,haşlanmış buğday,karabiber,pancetta,pekmez,muz,mozzarella peyniri,dilim tam buğday ekmeği,karamel sos,noodle,kg tavuk but,kg tavuk budu,galeta unu,pırasa,beyaz peynir,kabak
Kuru Fasulye,"Kuru fasulyeyi bir gece önceden ıslatın. Ertesi gün süzün. Soğanı sıvı yağda kavurun, salçayı ekleyin. Fasulyeleri ve baharatları ekledikten sonra suyu ekleyip kısık ateşte pişirin.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
İçli Köfte,"Bulguru ve irmiği sıcak suyla ıslatıp yoğurun, un ve tuz ekleyerek hamur yapın. Tereyağında soğan ve kıymayı kavurup baharat ve cevizle iç harcı hazırlayın. Hamurdan parçalar alıp ortasını açarak iç harcı doldurun ve kapatın. Köfteleri kaynar tuzlu suda haşlayın ve sıcak servis edin.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lahmacun,"Hamur için unu maya ve suyla yoğurun, dinlendirin. İç harcı hazırlamak için kıyma, soğan, domates, yeşil biber, salça ve baharatları karıştırın. Hamurları açın, harcı yayın ve fırında pişirin.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mantı,"Hamuru un, yumurta ve suyla yoğurup dinlendirin. Kıyma, soğan ve baharatları karıştırarak iç harcı hazırlayın. Hamuru açın, kareler kesin, harcı ekleyip kapatın. Kaynar suda haşlayın, yoğurt ve sosla servis edin.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeytinyağlı Yaprak Sarma,"Pirinci yıkayıp süzün. Soğanı zeytinyağında kavurun, salça, baharatlar, şeker ve pirinci ekleyerek karıştırın. 2 su bardağı su ekleyip suyunu çekene kadar pişirerek iç harcı hazırlayın. Asma yapraklarını kaynar suda hafifçe haşlayıp süzün. Yaprakların içine iç harçtan koyarak sıkı şekilde sarın. Tencereye dizip üzerine zeytinyağı ve su ekleyerek kısık ateşte pişirin.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tavuk Sote,"Tavukları doğrayıp yağda soteleyin. Soğan, biber ve domates ekleyerek kavurmaya devam edin. Baharatları ve az miktarda suyu ekleyerek kısık ateşte pişirin.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hünkar Beğendi,"Patlıcanları közleyip kabuklarını soyun ve ezin. Tereyağında soğanı kavurun, etleri ekleyip rengi değişene kadar pişirin. Salça, tuz, karabiber ekleyip karıştırın. Unu ekleyip karıştırarak bir süre kavurun, ardından sütü ekleyin ve koyulaşana kadar karıştırarak pişirin. Közlenmiş patlıcanları ekleyip karıştırın. Karışımı bir kaba alın, üzerine rendelenmiş kaşar peynirini serpin ve fırına verip kaşar eriyene kadar pişirin.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Çoban Salata,"Domates, salatalık ve soğanı küçük doğrayın. Maydanozu ince ince kıyın. Tüm malzemeleri bir kaba alıp karıştırın. Üzerine zeytinyağı, limon suyu ve tuzu ekleyip iyice karıştırarak servis edin.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ezogelin Çorbası,"Mercimek, pirinç ve bulguru yıkayın. Soğanı tereyağında kavurun, salça ve baharatları ekleyin. Su ekleyip malzemeleri pişirin, ardından blenderdan geçirip servis edin.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karışık Dolma,"Pirinci yıkayın, soğanı kavurun, salçayı ekleyin, malzemeleri doldurun, sebzeleri tencereye dizip pişirin.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
